LON,LAT,GAP
-102.4,31.2,29.55
-102.4,31.45,26.52
-102.4,31.7,24.01
-102.4,31.95,21.51
-102.4,32.2,20.64
-102.4,32.45,15.35
-102.4,32.7,37.43
-102.4,32.95,41.41
-102.4,33.2,39.58
-102.4,33.45,34.12
-102.4,33.7,43.26
-102.4,33.95,66.10
-102.4,34.2,69.37
-102.4,34.45,72.62
-102.4,34.7,75.72
-102.4,34.95,78.53
-102.4,35.2,80.77
-102.4,35.45,82.01
-102.4,35.7,81.33
-102.4,35.95,76.47
-102.4,36.2,87.09
-102.15,28.2,64.77
-102.15,28.45,61.11
-102.15,28.7,57.65
-102.15,28.95,54.42
-102.15,29.2,51.41
-102.15,29.45,48.61
-102.15,29.7,46.02
-102.15,29.95,43.63
-102.15,30.2,41.42
-102.15,30.45,39.38
-102.15,30.7,37.50
-102.15,30.95,35.75
-102.15,31.2,32.74
-102.15,31.45,29.48
-102.15,31.7,26.75
-102.15,31.95,24.42
-102.15,32.2,13.20
-102.15,32.45,28.60
-102.15,32.7,34.62
-102.15,32.95,32.81
-102.15,33.2,28.91
-102.15,33.45,35.83
-102.15,33.7,52.56
-102.15,33.95,62.39
-102.15,34.2,64.99
-102.15,34.45,67.42
-102.15,34.7,69.54
-102.15,34.95,71.15
-102.15,35.2,71.91
-102.15,35.45,71.24
-102.15,35.7,68.11
-102.15,35.95,77.31
-102.15,36.2,98.83
-101.9,28.2,63.74
-101.9,28.45,60.35
-101.9,28.7,57.14
-101.9,28.95,54.11
-101.9,29.2,51.26
-101.9,29.45,48.60
-101.9,29.7,46.12
-101.9,29.95,43.81
-101.9,30.2,33.66
-101.9,30.45,32.50
-101.9,30.7,28.89
-101.9,30.95,29.39
-101.9,31.2,29.85
-101.9,31.45,17.79
-101.9,31.7,19.87
-101.9,31.95,20.05
-101.9,32.2,23.23
-101.9,32.45,19.28
-101.9,32.7,28.45
-101.9,32.95,25.61
-101.9,33.2,31.45
-101.9,33.45,41.53
-101.9,33.7,55.56
-101.9,33.95,58.73
-101.9,34.2,60.71
-101.9,34.45,62.42
-101.9,34.7,63.71
-101.9,34.95,64.34
-101.9,35.2,63.96
-101.9,35.45,62.02
-101.9,35.7,70.80
-101.9,35.95,84.46
-101.9,36.2,103.14
-101.65,28.2,62.57
-101.65,28.45,59.46
-101.65,28.7,56.48
-101.65,28.95,53.65
-101.65,29.2,50.97
-101.65,29.45,48.44
-101.65,29.7,46.08
-101.65,29.95,43.86
-101.65,30.2,41.79
-101.65,30.45,33.48
-101.65,30.7,26.70
-101.65,30.95,23.70
-101.65,31.2,22.27
-101.65,31.45,23.55
-101.65,31.7,20.33
-101.65,31.95,12.25
-101.65,32.2,11.35
-101.65,32.45,19.11
-101.65,32.7,23.17
-101.65,32.95,28.26
-101.65,33.2,35.19
-101.65,33.45,44.33
-101.65,33.7,53.53
-101.65,33.95,55.18
-101.65,34.2,56.61
-101.65,34.45,57.71
-101.65,34.7,58.32
-101.65,34.95,58.20
-101.65,35.2,57.69
-101.65,35.45,65.42
-101.65,35.7,75.36
-101.65,35.95,88.19
-101.65,36.2,104.21
-101.4,28.2,54.18
-101.4,28.45,58.46
-101.4,28.7,55.70
-101.4,28.95,53.06
-101.4,29.2,50.55
-101.4,29.45,48.16
-101.4,29.7,45.91
-101.4,29.95,43.80
-101.4,30.2,41.81
-101.4,30.45,39.94
-101.4,30.7,32.48
-101.4,30.95,24.82
-101.4,31.2,19.94
-101.4,31.45,17.85
-101.4,31.7,19.32
-101.4,31.95,18.62
-101.4,32.2,18.47
-101.4,32.45,21.22
-101.4,32.7,25.73
-101.4,32.95,20.95
-101.4,33.2,37.37
-101.4,33.45,45.40
-101.4,33.7,50.55
-101.4,33.95,51.78
-101.4,34.2,52.75
-101.4,34.45,53.34
-101.4,34.7,33.68
-101.4,34.95,43.24
-101.4,35.2,57.98
-101.4,35.45,68.45
-101.4,35.7,78.02
-101.4,35.95,89.73
-101.4,36.2,103.57
-101.15,28.2,39.45
-101.15,28.45,38.34
-101.15,28.7,45.06
-101.15,28.95,47.47
-101.15,29.2,47.98
-101.15,29.45,47.56
-101.15,29.7,45.65
-101.15,29.95,43.63
-101.15,30.2,41.72
-101.15,30.45,39.93
-101.15,30.7,38.24
-101.15,30.95,31.36
-101.15,31.2,25.42
-101.15,31.45,20.96
-101.15,31.7,17.55
-101.15,31.95,16.32
-101.15,32.2,18.39
-101.15,32.45,17.72
-101.15,32.7,19.96
-101.15,32.95,32.54
-101.15,33.2,38.45
-101.15,33.45,45.41
-101.15,33.7,47.68
-101.15,33.95,48.55
-101.15,34.2,46.29
-101.15,34.45,36.87
-101.15,34.7,41.58
-101.15,34.95,54.81
-101.15,35.2,62.76
-101.15,35.45,70.27
-101.15,35.7,79.25
-101.15,35.95,89.82
-101.15,36.2,101.90
-100.9,28.2,50.90
-100.9,28.45,32.42
-100.9,28.7,32.85
-100.9,28.95,37.61
-100.9,29.2,39.98
-100.9,29.45,40.98
-100.9,29.7,41.16
-100.9,29.95,40.84
-100.9,30.2,40.22
-100.9,30.45,39.42
-100.9,30.7,38.21
-100.9,30.95,36.37
-100.9,31.2,24.73
-100.9,31.45,16.59
-100.9,31.7,17.36
-100.9,31.95,17.39
-100.9,32.2,16.09
-100.9,32.45,17.13
-100.9,32.7,28.95
-100.9,32.95,33.48
-100.9,33.2,38.77
-100.9,33.45,44.17
-100.9,33.7,44.84
-100.9,33.95,41.73
-100.9,34.2,36.20
-100.9,34.45,42.19
-100.9,34.7,51.46
-100.9,34.95,57.92
-100.9,35.2,63.99
-100.9,35.45,71.11
-100.9,35.7,79.41
-100.9,35.95,88.92
-100.9,36.2,99.52
-100.65,28.2,55.23
-100.65,28.45,40.13
-100.65,28.7,29.03
-100.65,28.95,29.53
-100.65,29.2,32.99
-100.65,29.45,34.99
-100.65,29.7,36.02
-100.65,29.95,36.41
-100.65,30.2,36.39
-100.65,30.45,36.07
-100.65,30.7,35.57
-100.65,30.95,34.94
-100.65,31.2,33.10
-100.65,31.45,25.92
-100.65,31.7,16.58
-100.65,31.95,13.50
-100.65,32.2,15.94
-100.65,32.45,18.18
-100.65,32.7,17.25
-100.65,32.95,23.15
-100.65,33.2,38.58
-100.65,33.45,28.95
-100.65,33.7,38.31
-100.65,33.95,37.28
-100.65,34.2,39.72
-100.65,34.45,47.18
-100.65,34.7,53.15
-100.65,34.95,58.72
-100.65,35.2,64.51
-100.65,35.45,71.17
-100.65,35.7,78.77
-100.65,35.95,87.29
-100.65,36.2,96.63
-100.4,28.2,55.77
-100.4,28.45,44.47
-100.4,28.7,34.45
-100.4,28.95,26.72
-100.4,29.2,27.11
-100.4,29.45,29.72
-100.4,29.7,25.89
-100.4,29.95,32.30
-100.4,30.2,32.76
-100.4,30.45,32.87
-100.4,30.7,32.74
-100.4,30.95,32.42
-100.4,31.2,31.99
-100.4,31.45,29.82
-100.4,31.7,24.42
-100.4,31.95,17.79
-100.4,32.2,16.91
-100.4,32.45,19.15
-100.4,32.7,20.79
-100.4,32.95,30.81
-100.4,33.2,25.27
-100.4,33.45,28.90
-100.4,33.7,33.29
-100.4,33.95,38.52
-100.4,34.2,42.92
-100.4,34.45,45.62
-100.4,34.7,49.76
-100.4,34.95,54.55
-100.4,35.2,60.12
-100.4,35.45,66.64
-100.4,35.7,74.45
-100.4,35.95,84.44
-100.4,36.2,93.35
-100.15,28.2,54.34
-100.15,28.45,46.87
-100.15,28.7,24.78
-100.15,28.95,30.76
-100.15,29.2,24.92
-100.15,29.45,25.18
-100.15,29.7,21.48
-100.15,29.95,21.65
-100.15,30.2,29.39
-100.15,30.45,29.85
-100.15,30.7,30.03
-100.15,30.95,29.99
-100.15,31.2,29.80
-100.15,31.45,29.50
-100.15,31.7,27.13
-100.15,31.95,22.80
-100.15,32.2,18.35
-100.15,32.45,19.80
-100.15,32.7,21.50
-100.15,32.95,23.41
-100.15,33.2,25.66
-100.15,33.45,30.14
-100.15,33.7,33.14
-100.15,33.95,39.18
-100.15,34.2,46.58
-100.15,34.45,49.43
-100.15,34.7,51.88
-100.15,34.95,53.45
-100.15,35.2,53.37
-100.15,35.45,57.28
-100.15,35.7,60.82
-100.15,35.95,72.38
-100.15,36.2,95.53
-99.9,28.2,52.92
-99.9,28.45,48.10
-99.9,28.7,33.84
-99.9,28.95,22.00
-99.9,29.2,21.50
-99.9,29.45,22.58
-99.9,29.7,23.58
-99.9,29.95,16.50
-99.9,30.2,19.65
-99.9,30.45,25.21
-99.9,30.7,27.47
-99.9,30.95,27.68
-99.9,31.2,27.70
-99.9,31.45,27.59
-99.9,31.7,27.38
-99.9,31.95,24.88
-99.9,32.2,21.28
-99.9,32.45,19.70
-99.9,32.7,20.04
-99.9,32.95,20.11
-99.9,33.2,23.56
-99.9,33.45,27.40
-99.9,33.7,32.15
-99.9,33.95,38.89
-99.9,34.2,47.71
-99.9,34.45,54.27
-99.9,34.7,58.14
-99.9,34.95,61.45
-99.9,35.2,63.36
-99.9,35.45,62.23
-99.9,35.7,53.80
-99.9,35.95,70.91
-99.9,36.2,103.08
-99.65,28.2,51.51
-99.65,28.45,38.14
-99.65,28.7,32.21
-99.65,28.95,26.20
-99.65,29.2,19.52
-99.65,29.45,18.09
-99.65,29.7,20.43
-99.65,29.95,18.62
-99.65,30.2,16.25
-99.65,30.45,18.29
-99.65,30.7,22.42
-99.65,30.95,25.19
-99.65,31.2,25.70
-99.65,31.45,25.76
-99.65,31.7,25.70
-99.65,31.95,25.18
-99.65,32.2,22.97
-99.65,32.45,20.84
-99.65,32.7,18.81
-99.65,32.95,20.03
-99.65,33.2,21.50
-99.65,33.45,24.95
-99.65,33.7,30.03
-99.65,33.95,37.13
-99.65,34.2,47.22
-99.65,34.45,59.17
-99.65,34.7,64.74
-99.65,34.95,70.33
-99.65,35.2,75.29
-99.65,35.45,78.30
-99.65,35.7,74.01
-99.65,35.95,59.85
-99.65,36.2,108.12
-99.4,28.2,50.12
-99.4,28.45,47.76
-99.4,28.7,25.28
-99.4,28.95,21.52
-99.4,29.2,18.82
-99.4,29.45,17.14
-99.4,29.7,17.71
-99.4,29.95,19.57
-99.4,30.2,14.47
-99.4,30.45,14.37
-99.4,30.7,17.23
-99.4,30.95,18.94
-99.4,31.2,22.72
-99.4,31.45,24.01
-99.4,31.7,24.09
-99.4,31.95,24.07
-99.4,32.2,23.19
-99.4,32.45,22.08
-99.4,32.7,18.66
-99.4,32.95,19.27
-99.4,33.2,21.72
-99.4,33.45,21.95
-99.4,33.7,26.55
-99.4,33.95,33.33
-99.4,34.2,43.91
-99.4,34.45,61.00
-99.4,34.7,71.33
-99.4,34.95,79.58
-99.4,35.2,88.39
-99.4,35.45,97.49
-99.4,35.7,104.18
-99.4,35.95,109.96
-99.4,36.2,113.20
-99.15,28.2,46.37
-99.15,28.45,47.54
-99.15,28.7,33.50
-99.15,28.95,20.87
-99.15,29.2,17.95
-99.15,29.45,16.65
-99.15,29.7,15.37
-99.15,29.95,17.26
-99.15,30.2,15.88
-99.15,30.45,12.30
-99.15,30.7,12.95
-99.15,30.95,13.32
-99.15,31.2,16.78
-99.15,31.45,20.83
-99.15,31.7,22.25
-99.15,31.95,22.64
-99.15,32.2,23.00
-99.15,32.45,23.07
-99.15,32.7,19.90
-99.15,32.95,22.07
-99.15,33.2,23.52
-99.15,33.45,24.94
-99.15,33.7,26.07
-99.15,33.95,26.55
-99.15,34.2,35.21
-99.15,34.45,52.60
-99.15,34.7,74.71
-99.15,34.95,84.21
-99.15,35.2,94.46
-99.15,35.45,104.93
-99.15,35.7,110.93
-99.15,35.95,114.57
-99.15,36.2,118.27
-98.9,28.2,41.46
-98.9,28.45,43.20
-98.9,28.7,36.99
-98.9,28.95,26.86
-98.9,29.2,18.41
-98.9,29.45,16.13
-98.9,29.7,12.84
-98.9,29.95,15.23
-98.9,30.2,16.77
-98.9,30.45,12.84
-98.9,30.7,13.69
-98.9,30.95,15.27
-98.9,31.2,16.25
-98.9,31.45,19.79
-98.9,31.7,21.88
-98.9,31.95,23.66
-98.9,32.2,24.54
-98.9,32.45,22.49
-98.9,32.7,20.03
-98.9,32.95,20.84
-98.9,33.2,27.10
-98.9,33.45,29.73
-98.9,33.7,32.71
-98.9,33.95,35.92
-98.9,34.2,38.69
-98.9,34.45,37.53
-98.9,34.7,74.31
-98.9,34.95,85.18
-98.9,35.2,97.17
-98.9,35.45,109.50
-98.9,35.7,115.12
-98.9,35.95,119.16
-98.9,36.2,123.29
-98.65,28.2,42.01
-98.65,28.45,39.17
-98.65,28.7,36.69
-98.65,28.95,29.14
-98.65,29.2,22.91
-98.65,29.45,16.74
-98.65,29.7,14.89
-98.65,29.95,13.47
-98.65,30.2,14.99
-98.65,30.45,13.73
-98.65,30.7,16.07
-98.65,30.95,17.68
-98.65,31.2,18.52
-98.65,31.45,21.59
-98.65,31.7,23.77
-98.65,31.95,25.60
-98.65,32.2,26.25
-98.65,32.45,21.10
-98.65,32.7,20.06
-98.65,32.95,18.75
-98.65,33.2,20.22
-98.65,33.45,30.88
-98.65,33.7,39.17
-98.65,33.95,45.75
-98.65,34.2,54.37
-98.65,34.45,62.57
-98.65,34.7,72.86
-98.65,34.95,85.38
-98.65,35.2,99.68
-98.65,35.45,114.48
-98.65,35.7,119.28
-98.65,35.95,123.70
-98.65,36.2,128.23
-98.4,28.2,45.08
-98.4,28.45,43.33
-98.4,28.7,35.61
-98.4,28.95,29.47
-98.4,29.2,19.43
-98.4,29.45,19.61
-98.4,29.7,15.47
-98.4,29.95,12.99
-98.4,30.2,13.63
-98.4,30.45,16.42
-98.4,30.7,19.15
-98.4,30.95,20.65
-98.4,31.2,20.98
-98.4,31.45,23.67
-98.4,31.7,25.93
-98.4,31.95,27.68
-98.4,32.2,28.15
-98.4,32.45,18.32
-98.4,32.7,18.75
-98.4,32.95,19.64
-98.4,33.2,23.94
-98.4,33.45,31.83
-98.4,33.7,39.04
-98.4,33.95,44.14
-98.4,34.2,50.44
-98.4,34.45,58.76
-98.4,34.7,69.84
-98.4,34.95,84.32
-98.4,35.2,101.84
-98.4,35.45,118.70
-98.4,35.7,123.39
-98.4,35.95,128.17
-98.4,36.2,133.09
-98.15,28.2,54.57
-98.15,28.45,55.34
-98.15,28.7,36.22
-98.15,28.95,24.46
-98.15,29.2,15.46
-98.15,29.45,15.37
-98.15,29.7,17.19
-98.15,29.95,14.36
-98.15,30.2,15.43
-98.15,30.45,20.39
-98.15,30.7,23.18
-98.15,30.95,22.21
-98.15,31.2,23.24
